id,desi_targetid,dist_arcsec,z,zerr,spectype,subtype,diaObjectId
2429305,39627865741856100,1.3072044150612332,0.985798093719111,0.0003249962093093058,QSO,LOZ,789668014118142747
2429439,39627829549207044,0.11446854716126897,0.04570980195585208,0.00001815794798435834,GALAXY,,788018265640142326
2429484,39627871794233538,0.32896821806774956,2.088447460032238,0.0002859067144052281,QSO,HIZ,789675779419014767
2429758,39089837394918878,0.6211512812206497,0.6364887456292994,0.00006830161885765839,GALAXY,,786345083820572693
2429824,2305843037793693218,0.08533068281527048,0.04429465209679732,3.036820060285225e-6,GALAXY,,788013936313106445
2430082,39627835576420571,0.34319872760383796,1.68749695621907,0.00004933832017360233,GALAXY,,788013180398862379
2430267,39627817436055283,0.5281165691292433,0.443405556404122,0.0000785198995167674,GALAXY,,786345633576386597
2430290,39627805343878907,0.17734660549435624,1.415407857715675,0.000256628096811603,QSO,HIZ,786343846869991600
2430335,39627841620411448,0.046471229240565216,0.4990989675339452,0.00005703251198135722,GALAXY,,788021289297118671
2430339,39627805343878405,0.22622637630868372,2.021428430883318,0.00009646556087717852,QSO,HIZ,786344534064758901
2430654,39627817419278762,0.7098241269023827,0.5255630906898254,0.00007699426107131814,GALAXY,,786338555470282822
2430708,39627847664403202,0.15452801901941665,0.6435340660210563,0.00001026831250122128,GALAXY,,788021839052931109
2430907,39627847609880081,1.4153263787776689,0.07419544478197816,6.215490115469139e-6,GALAXY,,788008851071827986
2430964,39627823505214216,0.8289827152200608,1.07917049710132,0.00004140189242580184,QSO,LOZ,788018403079094273
2431156,39627841586860225,0.01854176638133168,0.6204031342260234,0.00006325372969134512,GALAXY,,788006377170667284
2431323,39627829515650253,0.5846967955684679,0.900614691951206,0.0001477888634311937,GALAXY,,788011668570376362
2431331,39627871781654198,0.12681063573879053,0.06151900784458182,4.909720431564328e-6,GALAXY,,789675985577445646
2431565,39627853679035979,0.32517195378393854,1.003042615261769,0.0000871264484644875,GALAXY,,788016341494793321
2431628,39627859718836913,1.7872283752967761,0.1257110603499185,0.00001896443532124606,GALAXY,,788016959970082818
2431714,39627859731415760,0.1450822046433646,0.02339165073970161,6.35560949115917e-7,GALAXY,,789674267590524935
2431830,39627877817258674,0.7385810716275534,0.5832180790693012,0.00006672053661249292,GALAXY,,789676535333257223
2431857,39627799337634621,0.22246188630672958,0.1789417105390795,0.00003628563784577742,GALAXY,,786350512659234869
2431873,39089837395037028,0.5927902816194978,0.6285537819955747,5.117979180698006e-6,GALAXY,,788010500339271508
2431956,2305843037772721914,0.5634714551737945,0.03338178533908873,0.00001277299700787341,GALAXY,,786343365833654343
2431980,39627859710447652,0.139351167490415,1.571339346368212,0.0001110548026999135,QSO,HIZ,788009675705549271
2432206,39627817469611116,0.18538399397138577,0.03264051682990285,1.146102539561776e-6,GALAXY,,786352230646153743
2432282,39627829553399786,0.13045438612976515,0.1011768126210738,3.640890515049341e-6,GALAXY,,788018884115431440
2432342,39627871785846325,0.6613886568032282,0.1235676637150852,0.00002480907291579489,GALAXY,,789676604052734092
2432562,39627805381626166,0.21838617606724683,1.049784887213706,0.00003619573718885747,GALAXY,,786351062415048865
2432579,39627859735613696,0.02072798741673151,0.829955111268544,0.00001109319523774518,QSO,LOZ,788015860458455988
2432602,39627883861248368,0.16888684916763894,0.3336089073873801,0.00008771439366947708,GALAXY,,789677634844885192
